City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Tanout,NE,2022-04-05 20:10:12,14.9709,8.8879,89.65,6,15,7.7
184,Walvis Bay,NA,2022-04-05 20:11:12,-22.9575,14.5053,59.09,66,0,15.46
185,Maceio,BR,2022-04-05 20:09:57,-9.6658,-35.7353,83.64,65,40,12.66
186,Yulara,AU,2022-04-05 20:11:13,-25.2406,130.9889,69.64,64,40,10.36
187,Haukipudas,FI,2022-04-05 20:11:13,65.1765,25.3523,33.85,93,100,14.14
188,Castro,BR,2022-04-05 20:10:00,-24.7911,-50.0119,73.2,81,29,1.61
189,Semporna,MY,2022-04-05 20:11:13,4.4818,118.6112,78.3,86,100,10.45
190,Dingle,PH,2022-04-05 20:11:14,10.9995,122.6711,74.77,92,100,8.05
191,Nuuk,GL,2022-04-05 20:11:14,64.1835,-51.7216,32.61,93,75,3.44
192,Berlevag,NO,2022-04-05 20:11:14,70.8578,29.0864,30.2,79,100,29.24
193,Kuusamo,FI,2022-04-05 20:11:15,65.9667,29.1833,30.24,93,100,14.97
194,Temascalcingo,MX,2022-04-05 20:11:15,19.9167,-100.0,80.11,8,3,13.82
195,Wladyslawowo,PL,2022-04-05 20:11:16,54.7909,18.4009,37.0,75,85,15.99
196,Huarmey,PE,2022-04-05 20:11:16,-10.0681,-78.1522,75.0,72,49,11.27
197,Suntar,RU,2022-04-05 20:11:16,62.1444,117.6319,-11.34,100,92,1.52
198,Lexington,US,2022-04-05 20:10:19,37.9887,-84.4777,55.94,85,100,10.36
199,Mehamn,NO,2022-04-05 20:11:17,71.0357,27.8492,30.15,64,75,16.11
200,Ormara,PK,2022-04-05 20:11:17,25.2088,64.6357,79.93,71,1,15.3
201,Waingapu,ID,2022-04-05 20:11:18,-9.6567,120.2641,76.77,84,99,6.13
202,Soyo,AO,2022-04-05 20:07:30,-6.1349,12.3689,77.83,89,47,9.15
203,Kiruna,SE,2022-04-05 20:11:18,67.8557,20.2251,22.12,100,75,12.66
204,Ketchikan,US,2022-04-05 20:11:18,55.3422,-131.6461,43.27,61,75,0.0
205,Korla,CN,2022-04-05 20:11:19,41.7597,86.1469,60.15,25,4,2.15
206,Honningsvag,NO,2022-04-05 20:11:19,70.9821,25.9704,31.75,69,75,25.32
207,Alofi,NU,2022-04-05 20:11:20,-19.0595,-169.9187,79.41,76,100,8.84
208,Haines Junction,CA,2022-04-05 20:11:20,60.7522,-137.5108,33.31,64,13,13.8
209,San Joaquin,US,2022-04-05 20:11:20,37.9333,-121.3011,71.67,26,0,20.71
210,Hyderabad,IN,2022-04-05 20:11:19,17.3753,78.4744,80.11,61,40,5.75
211,Dabat,ET,2022-04-05 20:11:21,12.9842,37.765,66.13,29,9,2.75
212,East London,ZA,2022-04-05 20:08:53,-33.0153,27.9116,67.12,76,63,6.51
