City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
450,Conceicao Do Araguaia,BR,85.68,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
451,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
455,San Mariano,PH,73.53,moderate rain,7.5,126.0,MASING (HOME)
456,Jibuti,DJ,84.22,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
458,Terra Santa,BR,81.93,overcast clouds,-2.1042,-56.4869,Hotel Sarah
459,Dhuburi,IN,81.55,clear sky,26.0333,89.9667,Hotel Samrat
460,Karaton,ID,75.06,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
461,Caravelas,BR,84.15,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
462,Panaba,MX,72.27,overcast clouds,21.2833,-88.2667,Hotel California
464,Vao,NC,78.31,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
465,Bireun,ID,79.5,moderate rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
466,Camopi,GF,77.36,overcast clouds,3.1655,-52.3158,La pousada
470,Nawalapitiya,LK,70.65,heavy intensity rain,7.0559,80.5348,Binara Villa
471,Tiarei,PF,78.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
473,Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
475,Dwarka,IN,83.48,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
477,Merauke,ID,80.24,clear sky,-8.4667,140.3333,
481,Waingapu,ID,78.73,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
482,Cururupu,BR,74.7,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
483,Sao Joao Da Barra,BR,82.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
484,Bonthe,SL,87.08,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
485,Kapit,MY,73.53,light rain,2.0167,112.9333,Hotel Meligai Kapit
487,Kibaya,TZ,75.52,few clouds,-5.3,36.5667,Lusaka Hotel
490,Nouadhibou,MR,82.38,clear sky,20.931,-17.0347,El Medina
491,Hami,CN,74.52,scattered clouds,42.8,93.45,Laoyutang Resort
495,Charters Towers,AU,73.94,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
499,Puerto Escondido,MX,72.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
502,Hetauda,NP,85.35,scattered clouds,27.4284,85.0322,Regal Hetauda Resort
504,Vilhena,BR,80.82,clear sky,-12.7406,-60.1458,Hotel Mirage
510,Takoradi,GH,87.19,broken clouds,4.8845,-1.7554,Raybow International Hotel
511,Bac Lieu,VN,80.56,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
515,Balaipungut,ID,75.29,overcast clouds,1.05,101.2833,
517,Aracati,BR,83.28,moderate rain,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
518,Monywa,MM,93.7,overcast clouds,22.1167,95.1333,Monywa Hotel
520,Pizarro,CO,78.64,moderate rain,4.9533,-77.366,Hotel Limonar
522,Auki,SB,78.15,overcast clouds,-8.7676,160.7034,Auki Motel
525,Mahibadhoo,MV,84.54,few clouds,3.7833,72.9667,Omadhoo Inn
528,Birjand,IR,79.27,sand,32.8663,59.2211,Birjand Tourist Hotel
530,Mulbagal,IN,81.61,broken clouds,13.1667,78.4,Sri Balaji Bhavan
533,Marsaxlokk,MT,70.41,clear sky,35.8419,14.5431,Water's Edge
537,Simbahan,PH,81.77,overcast clouds,6.3032,120.5836,
538,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
542,Myitkyina,MM,76.98,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
544,San Felipe,VE,80.83,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
547,Palmerston,AU,82.38,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
550,Puerto Ayacucho,VE,85.95,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
552,Luanda,AO,81.45,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
553,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
555,Barra,BR,89.35,clear sky,-11.0894,-43.1417,Motel Albatroz
557,Ternate,ID,81.72,light rain,0.8,127.4,Sahid Bela Ternate Hotel
568,Surab,PK,75.7,clear sky,28.4914,66.2585,Bismillah Hotel
569,Xai-Xai,MZ,76.82,light rain,-25.0519,33.6442,Complexo da Familia
570,Morondava,MG,84.27,clear sky,-20.2833,44.2833,La Case Bambou
573,Najran,SA,90.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
574,Apiai,BR,80.1,scattered clouds,-24.5094,-48.8425,Pousada Villa Branca
577,Maumere,ID,80.28,broken clouds,-8.6199,122.2111,Sylvia Hotel
582,Komatipoort,ZA,74.05,light rain,-25.4332,31.9548,Kruger View Backpackers
584,Novo Aripuana,BR,85.73,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
588,Lodja,CD,82.08,light rain,-3.4833,23.4333,
589,Awassa,ET,80.47,overcast clouds,7.05,38.4667,ፓራዳይስ ሆቴል ሀዋሳ / Paradise Hotel Hawassa
592,Pochutla,MX,80.91,few clouds,15.7432,-96.4661,Hotel Posada San Jose
593,Santiago Del Estero,AR,70.09,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
598,Chemax,MX,71.04,overcast clouds,20.65,-87.9333,"Hotel ""Don Roger"""
600,Kavali,IN,81.01,few clouds,14.9167,79.9833,Hotel Mourya Paradise
604,Banda Aceh,ID,81.57,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
605,Camacupa,AO,72.66,moderate rain,-12.0167,17.4833,
608,Mayor Pablo Lagerenza,PY,86.7,broken clouds,-19.9309,-60.7718,
613,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
614,Isabela,PH,79.54,overcast clouds,6.7085,121.9711,Isawad Resort
615,Monrovia,LR,91.17,few clouds,6.3005,-10.7969,Sunset Inn
618,Pangkalanbuun,ID,74.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
619,Qandala,SO,82.29,overcast clouds,11.472,49.8728,
623,Tabou,CI,85.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
626,Kuppam,IN,84.52,broken clouds,12.75,78.3667,Manjunatha Residency Hotel
628,Muisne,EC,78.42,overcast clouds,0.6,-80.0333,Quinta Samay
631,Magangue,CO,82.62,overcast clouds,9.242,-74.7547,Abu Dhabi hotel´s
