City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
262,Aklavik,CA,68.2191,-135.0107,3.2,85,20,0.0,few clouds
263,Camacha,PT,33.0833,-16.3333,62.02,59,40,6.91,scattered clouds
264,Westport,US,41.1415,-73.3579,53.89,90,100,10.0,overcast clouds
265,General Roca,AR,-39.0333,-67.5833,65.19,59,3,10.38,clear sky
266,Mayo,US,38.8876,-76.5119,55.35,71,0,6.91,clear sky
267,Jabinyanah,TN,35.035,10.9081,75.0,43,0,16.44,clear sky
268,Tateyama,JP,34.9833,139.8667,61.29,70,2,14.5,clear sky
269,Ramsar,IR,36.9226,50.6426,58.44,82,75,9.22,broken clouds
270,Eureka,US,40.8021,-124.1637,51.58,71,100,3.0,overcast clouds
271,Afsin,TR,38.2477,36.914,48.88,77,100,7.49,overcast clouds
272,Boyolangu,ID,-8.1181,111.8935,76.01,88,68,3.02,broken clouds
273,Naifaru,MV,5.4444,73.3657,85.15,65,64,6.8,broken clouds
274,Jiuquan,CN,39.7432,98.5174,63.86,10,0,10.38,clear sky
275,Crucea,RO,44.5333,28.2333,70.09,32,40,10.4,scattered clouds
276,Namibe,AO,-15.1961,12.1522,77.63,65,20,11.5,few clouds
277,Qeshm,IR,26.9581,56.2719,93.07,48,4,21.65,clear sky
278,Astana,KZ,51.1801,71.446,48.15,61,75,11.18,broken clouds
279,Xichang,CN,27.8964,102.2634,61.52,69,100,0.96,moderate rain
280,Nordfjordeid,NO,61.9063,5.9915,41.22,86,75,6.91,broken clouds
281,Prado,BR,-17.3411,-39.2208,80.89,79,11,4.54,few clouds
282,Kaeo,NZ,-35.1,173.7833,56.32,92,3,5.12,clear sky
283,Tura,IN,25.5198,90.2201,76.06,69,0,6.67,clear sky
284,Sorland,NO,67.667,12.6934,35.46,64,0,26.46,clear sky
285,Jose Bonifacio,BR,-21.0528,-49.6883,81.66,61,24,3.96,few clouds
286,Vestmanna,FO,62.1564,-7.1664,34.72,60,20,25.32,light snow
287,Shaoyang,CN,27.2315,111.4525,70.25,43,72,3.69,broken clouds
